ID,YEAR,MONTH,MAIN,BAKER,BLUEBONNET,CARVER,CENTRAL,DELMONT GARDENS,EDEN PARK,FAIRWOOD,GREENWELL SPRINGS,JONES CREEK,PRIDE,RIVER CENTER,SCOTLANDVILLE,ZACHARY,GATE COUNT TOTAL,RECYCLED READS
201312,2013,December,23478,7672,17205,16743,7777,27360,9193,8074,9910,16026,2672,6967,10232,8128,171437,0
201311,2013,November,28480,8310,19383,8624,7250,16667,9257,8676,10746,17226,2640,6432,11577,9056,164324,0
201310,2013,October,34793,10337,22271,11943,8080,17444,11928,10393,13106,21173,4482,8464,14211,10570,199195,188
201309,2013,September,34698,10620,22046,11995,7949,17165,11501,10926,13431,21110,2968,7776,14927,10952,198064,195
201308,2013,August,34756,11603,23307,13413,8619,16611,12120,11380,13504,21169,2945,8602,14042,12044,204115,203
201307,2013,July,35511,11648,25716,15454,9465,16538,12002,11455,14304,23034,3161,9061,14458,12617,214424,197
201303,2013,March,34181,9791,19840,9884,6859,7038,9904,3255,12706,20680,2294,6818,13453,9827,166530,135
201302,2013,February,35335,9741,19736,10520,7440,3036,11509,0,14202,20240,2198,6907,15622,10047,166533,164
201301,2013,January,37312,9048,3796,11148,7069,11077,10977,0,12659,20154,2413,7060,13913,9379,156005,199
201212,2012,December,29957,8335,17732,8740,6058,23311,8665,0,9753,17344,2053,6203,9552,8448,156151,0
201211,2012,November,31545,10258,20420,10272,6959,15975,9778,0,16653,20876,2357,6515,12699,9104,173411,0
201210,2012,October,37505,13238,23571,12904,8121,16026,11858,0,16491,22799,4097,7352,15868,10641,200471,205
201209,2012,September,36182,11325,23138,10966,8268,17325,11956,0,16906,20827,3177,6506,14589,10892,192057,214
201208,2012,August,33633,9924,21390,9827,6535,15829,11722,0,13118,19821,3250,7545,13107,10450,176151,187
201207,2012,July,35994,12036,25054,12337,9000,18268,13147,0,15330,23432,3789,8774,13932,12798,203891,169
201206,2012,June,38535,13437,26049,11243,10250,17777,12877,0,14518,23648,4473,8636,13417,12296,207156,202
201205,2012,May,32116,12313,22982,11108,6500,16142,11804,0,12601,21784,1623,7213,12414,10761,179361,121
201204,2012,April,33974,10647,22127,9491,7923,13204,10955,0,14119,19928,3820,9291,12080,9909,177468,153
201203,2012,March,36128,10940,23168,9129,7852,13619,11735,0,14847,21312,2557,7180,12420,9967,180854,151
201202,2012,February,35383,10559,22564,9823,7681,13381,11571,0,13416,20741,2463,6421,12028,7312,173343,150
201201,2012,January,36820,11156,23663,10528,6865,16303,12279,0,15044,21206,2449,7124,13694,7258,184389,230
201112,2011,December,30826,10072,18619,9619,5932,13894,10506,0,11911,17714,2300,5662,10675,6142,153872,0
201111,2011,November,33469,10743,21184,10332,7171,14473,12374,0,13368,19360,2683,5410,14587,6749,171903,0
201110,2011,October,37479,12039,23193,11127,8137,15954,12708,0,15764,21861,4053,6232,16405,7873,192825,300
201109,2011,September,36975,11386,23230,10895,8034,27823,12343,0,14684,19946,2802,5557,15098,8108,196881,275
201108,2011,August,43339,12239,25703,11556,9106,17218,11870,0,14623,22472,3166,6377,14672,9683,202024,395
201107,2011,July,38790,11247,24981,9587,8854,15481,11023,0,15803,24672,3256,5214,11852,12067,192827,365
201106,2011,June,38398,12667,27392,9515,9818,16215,12082,0,15360,24870,3860,5798,14703,12690,203368,300
